first_name,last_name,doi,putcode,source,type,journal,volume,number,pages,issn,publisher,title,publication_year,romeo_colour,url_for_pdf,times_cited,authors
Philippe,Juneau,10.3389/fpls.2017.00207,53913736,Scopus - Elsevier,journal-article,Frontiers in Plant Science,,,,1664-462X,Frontiers Media SA,Glyphosate-dependent inhibition of photosynthesis in willow,2017,green,https://www.frontiersin.org/articles/10.3389/fpls.2017.00207/pdf,20,"Gomes, M.P.*Le Manac’h, S.G.*Hénault-Ethier, L.*Labrecque, M.*Lucotte, M.*Juneau, P."
Philippe,Juneau,10.1016/j.scitotenv.2017.04.104,53913729,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,Herbaceous or Salix miyabeana ‘SX64’ narrow buffer strips as a means to minimize glyphosate and aminomethylphosphonic acid leaching from row crop fields,2017,green,,3,"Hénault-Ethier, L.*Lucotte, M.*Moingt, M.*Paquet, S.*Maccario, S.*Smedbol, É.*Gomes, M.P.*Lepage, L.*Juneau, P.*Labrecque, M."
Philippe,Juneau,10.1016/j.biombioe.2017.06.017,53913660,Scopus - Elsevier,journal-article,Biomass and Bioenergy,,,,0961-9534,Elsevier BV,"High yields of riparian buffer strips planted with Salix miyabena ‘SX64’ along field crops in Québec, Canada",2017,green,,3,"Hénault-Ethier, L.*Gomes, M.P.*Lucotte, M.*Smedbol, É.*Maccario, S.*Lepage, L.*Juneau, P.*Labrecque, M."
Philippe,Juneau,10.1016/j.aquatox.2017.09.021,53913706,Scopus - Elsevier,journal-article,Aquatic Toxicology,,,,0166-445X,Elsevier BV,Phytoplankton growth and PSII efficiency sensitivity to a glyphosate-based herbicide (Factor 540<sup>®</sup>),2017,green,,5,"Smedbol, É.*Lucotte, M.*Labrecque, M.*Lepage, L.*Juneau, P."
Philippe,Juneau,10.3389/fenvs.2017.00050,53913709,Scopus - Elsevier,journal-article,Frontiers in Environmental Science,,,,2296-665X,Frontiers Media SA,Temperature and light modulation of herbicide toxicity on algal and cyanobacterial physiology,2017,green,,10,"Gomes, M.P.*Juneau, P."
Philippe,Juneau,10.1111/jpy.12372,53913737,Scopus - Elsevier,journal-article,Journal of Phycology,52,1,105-115,0022-3646,Wiley,Capsular polysaccharides facilitate enhanced iron acquisition by the colonial cyanobacterium Microcystis sp. isolated from a freshwater lake,2016,yellow,,8,"Li, Z.-K.*Dai, G.-Z.*Juneau, P.*Qiu, B.-S."
Philippe,Juneau,10.1016/j.bios.2015.12.050,53913704,Scopus - Elsevier,journal-article,Biosensors and Bioelectronics,,,,0956-5663,Elsevier BV,Development of a lab-on-chip electrochemical biosensor for water quality analysis based on microalgal photosynthesis,2016,green,https://hal.archives-ouvertes.fr/hal-01503060/file/article-vf.pdf,15,"Tsopela, A.*Laborde, A.*Salvagnac, L.*Ventalon, V.*Bedel-Pereira, E.*Séguy, I.*Temple-Boyer, P.*Juneau, P.*Izquierdo, R.*Launay, J."
Philippe,Juneau,10.1016/j.aquatox.2015.11.015,53913664,Scopus - Elsevier,journal-article,Aquatic Toxicology,,,,0166-445X,Elsevier BV,Different physiological and photosynthetic responses of three cyanobacterial strains to light and zinc,2016,green,,10,"Xu, K.*Juneau, P."
Philippe,Juneau,10.1016/j.pestbp.2015.11.010,53913689,Scopus - Elsevier,journal-article,Pesticide Biochemistry and Physiology,,,,0048-3575,Elsevier BV,Differential effects of glyphosate and aminomethylphosphonic acid (AMPA) on photosynthesis and chlorophyll metabolism in willow plants,2016,green,,45,"Gomes, M.P.*Le Manac'h, S.G.*Maccario, S.*Labrecque, M.*Lucotte, M.*Juneau, P."
Philippe,Juneau,10.1016/j.jhazmat.2015.10.043,53913721,Scopus - Elsevier,journal-article,Journal of Hazardous Materials,,,,0304-3894,Elsevier BV,Impact of phosphate on glyphosate uptake and toxicity in willow,2016,green,http://www.archipel.uqam.ca/7574/1/Gomes_et_al_JHM_2016-304-3.pdf,17,"Gomes, M.P.*Le Manac'h, S.G.*Moingt, M.*Smedbol, E.*Paquet, S.*Labrecque, M.*Lucotte, M.*Juneau, P."
